group,value,type
S1,89,OTUnum
F,203,OTUnum
S2,32,OTUnum
S3,22,OTUnum
S4,41,OTUnum
S5,30,OTUnum
S6,59,OTUnum
S7,111,OTUnum
S8,83,OTUnum
S9,57,OTUnum
S1,43,OTUnum
F,150,OTUnum
S2,36,OTUnum
S3,57,OTUnum
S4,152,OTUnum
S5,26,OTUnum
S6,37,OTUnum
S7,56,OTUnum
S8,62,OTUnum
S9,85,OTUnum
S1,37,OTUnum
F,226,OTUnum
S2,31,OTUnum
S3,39,OTUnum
S5,35,OTUnum
S6,28,OTUnum
S7,49,OTUnum
S8,79,OTUnum
S9,92,OTUnum
S1,51,OTUnum
F,158,OTUnum
S2,69,OTUnum
S3,82,OTUnum
S5,50,OTUnum
S6,66,OTUnum
S7,58,OTUnum
S8,63,OTUnum
S9,74,OTUnum
S1,110,OTUnum
F,158,OTUnum
S2,125,OTUnum
S3,98,OTUnum
S6,103,OTUnum
S7,101,OTUnum
S8,131,OTUnum
S9,137,OTUnum
S1,211,OTUnum
F,82,OTUnum
S2,71,OTUnum
S3,105,OTUnum
S4,45,OTUnum
S5,47,OTUnum
S7,49,OTUnum
S8,72,OTUnum
S9,71,OTUnum
S1,102,OTUnum
F,198,OTUnum
S2,111,OTUnum
S3,77,OTUnum
S4,56,OTUnum
S5,41,OTUnum
S6,140,OTUnum
S7,61,OTUnum
S8,142,OTUnum
S9,133,OTUnum
S1,122,OTUnum
F,106,OTUnum
S2,114,OTUnum
S3,93,OTUnum
S4,163,OTUnum
S5,48,OTUnum
S6,91,OTUnum
S7,96,OTUnum
S8,86,OTUnum
S9,122,OTUnum
S1,75,OTUnum
F,126,OTUnum
S2,51,OTUnum
S3,37,OTUnum
S4,30,OTUnum
S5,30,OTUnum
S8,60,OTUnum
S9,70,OTUnum
