".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"value","F","S1",0.0244343891402715,0.93,"0.02443","*","Wilcoxon"
"value","F","S2",0.000781571369806664,0.034,"0.00078","***","Wilcoxon"
"value","F","S3",0.00123406005758947,0.052,"0.00123","**","Wilcoxon"
"value","F","S4",0.0255744255744256,0.95,"0.02557","*","Wilcoxon"
"value","F","S5",0.000575894693541752,0.026,"0.00058","***","Wilcoxon"
"value","F","S6",0.00786713286713287,0.31,"0.00787","**","Wilcoxon"
"value","F","S7",0.00246812011517894,0.1,"0.00247","**","Wilcoxon"
"value","F","S8",0.000781571369806664,0.034,"0.00078","***","Wilcoxon"
"value","F","S9",0.0106129164952694,0.41,"0.01061","*","Wilcoxon"
"value","S1","S2",0.489428218839983,1,"0.48943","ns","Wilcoxon"
"value","S1","S3",0.604812834224599,1,"0.60481","ns","Wilcoxon"
"value","S1","S4",0.813500187293254,1,"0.81350","ns","Wilcoxon"
"value","S1","S5",0.138790621143562,1,"0.13879","ns","Wilcoxon"
"value","S1","S6",1,1,"1.00000","ns","Wilcoxon"
"value","S1","S7",0.672974084738791,1,"0.67297","ns","Wilcoxon"
"value","S1","S8",0.796174413821473,1,"0.79617","ns","Wilcoxon"
"value","S1","S9",0.796174413821473,1,"0.79617","ns","Wilcoxon"
"value","S2","S3",0.86330728095434,1,"0.86331","ns","Wilcoxon"
"value","S2","S4",0.775624375624376,1,"0.77562","ns","Wilcoxon"
"value","S2","S5",0.480707527766351,1,"0.48071","ns","Wilcoxon"
"value","S2","S6",0.606468531468532,1,"0.60647","ns","Wilcoxon"
"value","S2","S7",0.814808720691074,1,"0.81481","ns","Wilcoxon"
"value","S2","S8",0.545701357466063,1,"0.54570","ns","Wilcoxon"
"value","S2","S9",0.258083093377211,1,"0.25808","ns","Wilcoxon"
"value","S3","S4",0.775624375624376,1,"0.77562","ns","Wilcoxon"
"value","S3","S5",0.4234471410942,1,"0.42345","ns","Wilcoxon"
"value","S3","S6",0.837062937062937,1,"0.83706","ns","Wilcoxon"
"value","S3","S7",0.814808720691074,1,"0.81481","ns","Wilcoxon"
"value","S3","S8",0.730440148087207,1,"0.73044","ns","Wilcoxon"
"value","S3","S9",0.43628136569313,1,"0.43628","ns","Wilcoxon"
"value","S4","S5",0.413586413586414,1,"0.41359","ns","Wilcoxon"
"value","S4","S6",0.945221445221445,1,"0.94522","ns","Wilcoxon"
"value","S4","S7",0.94971694971695,1,"0.94972","ns","Wilcoxon"
"value","S4","S8",0.775624375624376,1,"0.77562","ns","Wilcoxon"
"value","S4","S9",0.606993006993007,1,"0.60699","ns","Wilcoxon"
"value","S5","S6",0.231857031857032,1,"0.23186","ns","Wilcoxon"
"value","S5","S7",0.278632478632479,1,"0.27863","ns","Wilcoxon"
"value","S5","S8",0.19958864664747,1,"0.19959","ns","Wilcoxon"
"value","S5","S9",0.074454956807898,1,"0.07445","ns","Wilcoxon"
"value","S6","S7",0.955089355089355,1,"0.95509","ns","Wilcoxon"
"value","S6","S8",0.837062937062937,1,"0.83706","ns","Wilcoxon"
"value","S6","S9",0.757692307692308,1,"0.75769","ns","Wilcoxon"
"value","S7","S8",0.672974084738791,1,"0.67297","ns","Wilcoxon"
"value","S7","S9",0.321266968325792,1,"0.32127","ns","Wilcoxon"
"value","S8","S9",0.489428218839983,1,"0.48943","ns","Wilcoxon"
