group,value,type
F,249.869565,chao
F,190.772727,chao
F,259.789474,chao
F,206.157895,chao
F,218.153846,chao
F,138.272727,chao
F,246.789474,chao
F,132.214286,chao
F,179.176471,chao
S1,136.25,chao
S1,84.25,chao
S1,42.909091,chao
S1,72.428571,chao
S1,133.3,chao
S1,260.681818,chao
S1,140.4,chao
S1,176.833333,chao
S1,104.5,chao
S2,38,chao
S2,72.6,chao
S2,98.75,chao
S2,92.6,chao
S2,160.111111,chao
S2,114.25,chao
S2,133.5,chao
S2,153,chao
S2,62.666667,chao
S3,38.75,chao
S3,98.25,chao
S3,56.142857,chao
S3,115.272727,chao
S3,107.75,chao
S3,176.230769,chao
S3,142.111111,chao
S3,159,chao
S3,66,chao
S4,84.25,chao
S4,184.763158,chao
S4,94.333333,chao
S4,80.363636,chao
S4,211.622222,chao
S4,69.142857,chao
S5,34.428571,chao
S5,61.333333,chao
S5,42.428571,chao
S5,184,chao
S5,98.5,chao
S5,100.5,chao
S5,79.5,chao
S5,103,chao
S6,114.2,chao
S6,54,chao
S6,47,chao
S6,140.333333,chao
S6,144.5,chao
S6,171.9375,chao
S6,138,chao
S7,192.6,chao
S7,80.857143,chao
S7,118,chao
S7,75.333333,chao
S7,129.333333,chao
S7,63.857143,chao
S7,85.428571,chao
S7,144.909091,chao
S8,119.428571,chao
S8,98.2,chao
S8,92.75,chao
S8,81.111111,chao
S8,159.090909,chao
S8,106.2,chao
S8,180.666667,chao
S8,129.5,chao
S8,74.75,chao
S9,67.666667,chao
S9,139.615385,chao
S9,132,chao
S9,93.3,chao
S9,155.055556,chao
S9,94.2,chao
S9,188.75,chao
S9,207.055556,chao
S9,105.2,chao
