".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"value","S1","F",0.0216163935621668,0.73,"0.02162","*","Wilcoxon"
"value","S1","S2",0.401298917667005,1,"0.40130","ns","Wilcoxon"
"value","S1","S3",0.309629770461734,1,"0.30963","ns","Wilcoxon"
"value","S1","S4",0.606993006993007,1,"0.60699","ns","Wilcoxon"
"value","S1","S5",0.00606778412360643,0.22,"0.00607","**","Wilcoxon"
"value","S1","S6",0.560155680821371,1,"0.56016","ns","Wilcoxon"
"value","S1","S7",0.596415416051454,1,"0.59642","ns","Wilcoxon"
"value","S1","S8",1,1,"1.00000","ns","Wilcoxon"
"value","S1","S9",0.757156352030966,1,"0.75716","ns","Wilcoxon"
"value","F","S2",0.00266609764652982,0.1,"0.00267","**","Wilcoxon"
"value","F","S3",0.0012537553722764,0.053,"0.00125","**","Wilcoxon"
"value","F","S4",0.0516208533559134,1,"0.05162","ns","Wilcoxon"
"value","F","S5",0.000625790079642251,0.028,"0.00063","***","Wilcoxon"
"value","F","S6",0.00588434061423324,0.22,"0.00588","**","Wilcoxon"
"value","F","S7",0.00240687002119201,0.096,"0.00241","**","Wilcoxon"
"value","F","S8",0.00469675219507045,0.18,"0.00470","**","Wilcoxon"
"value","F","S9",0.00803887462674596,0.28,"0.00804","**","Wilcoxon"
"value","S2","S3",1,1,"1.00000","ns","Wilcoxon"
"value","S2","S4",0.954645354645355,1,"0.95465","ns","Wilcoxon"
"value","S2","S5",0.038442297287888,1,"0.03844","*","Wilcoxon"
"value","S2","S6",1,1,"1.00000","ns","Wilcoxon"
"value","S2","S7",1,1,"1.00000","ns","Wilcoxon"
"value","S2","S8",0.258083093377211,1,"0.25808","ns","Wilcoxon"
"value","S2","S9",0.122083864717437,1,"0.12208","ns","Wilcoxon"
"value","S3","S4",0.954645354645355,1,"0.95465","ns","Wilcoxon"
"value","S3","S5",0.0604442326024056,1,"0.06044","ns","Wilcoxon"
"value","S3","S6",0.873752613432363,1,"0.87375","ns","Wilcoxon"
"value","S3","S7",0.664812620947746,1,"0.66481","ns","Wilcoxon"
"value","S3","S8",0.386507610037022,1,"0.38651","ns","Wilcoxon"
"value","S3","S9",0.23298895982501,1,"0.23299","ns","Wilcoxon"
"value","S4","S5",0.153302937420175,1,"0.15330","ns","Wilcoxon"
"value","S4","S6",1,1,"1.00000","ns","Wilcoxon"
"value","S4","S7",0.517683336738988,1,"0.51768","ns","Wilcoxon"
"value","S4","S8",0.327672327672328,1,"0.32767","ns","Wilcoxon"
"value","S4","S9",0.327672327672328,1,"0.32767","ns","Wilcoxon"
"value","S5","S6",0.0559774506991505,1,"0.05598","ns","Wilcoxon"
"value","S5","S7",0.00191773112842627,0.079,"0.00192","**","Wilcoxon"
"value","S5","S8",0.000630636059809067,0.028,"0.00063","***","Wilcoxon"
"value","S5","S9",0.000630636059809067,0.028,"0.00063","***","Wilcoxon"
"value","S6","S7",0.953815944915505,1,"0.95382","ns","Wilcoxon"
"value","S6","S8",0.536013986013986,1,"0.53601","ns","Wilcoxon"
"value","S6","S9",0.351048951048951,1,"0.35105","ns","Wilcoxon"
"value","S7","S8",0.193657589519031,1,"0.19366","ns","Wilcoxon"
"value","S7","S9",0.135593545211835,1,"0.13559","ns","Wilcoxon"
"value","S8","S9",0.666474701768819,1,"0.66647","ns","Wilcoxon"
