group,value,type
S1,2.303136,shannon
F,3.602682,shannon
S2,0.841824,shannon
S3,0.614915,shannon
S4,0.911622,shannon
S5,1.017773,shannon
S6,1.711358,shannon
S7,2.405021,shannon
S8,2.310493,shannon
S9,1.341165,shannon
S1,0.741795,shannon
F,2.374612,shannon
S2,0.888453,shannon
S3,1.368003,shannon
S4,1.640866,shannon
S5,0.476564,shannon
S6,1.095648,shannon
S7,1.465019,shannon
S8,2.008427,shannon
S9,2.270074,shannon
S1,0.363161,shannon
F,3.727326,shannon
S2,1.201143,shannon
S3,0.622575,shannon
S5,0.808824,shannon
S6,0.326296,shannon
S7,2.186585,shannon
S8,2.354271,shannon
S9,2.477368,shannon
S1,0.360789,shannon
F,2.944698,shannon
S2,1.85762,shannon
S3,1.573552,shannon
S5,1.392396,shannon
S6,1.61725,shannon
S7,0.51603,shannon
S8,1.165388,shannon
S9,2.388583,shannon
S1,1.972689,shannon
F,2.727852,shannon
S2,2.355151,shannon
S3,1.829937,shannon
S6,2.279161,shannon
S7,2.352406,shannon
S8,2.530409,shannon
S9,2.493613,shannon
S1,3.269855,shannon
F,2.133045,shannon
S2,1.282175,shannon
S3,1.415445,shannon
S4,0.47434,shannon
S5,0.372229,shannon
S7,1.653149,shannon
S8,1.827297,shannon
S9,2.222921,shannon
S1,1.757945,shannon
F,3.610107,shannon
S2,2.186066,shannon
S3,0.567214,shannon
S4,1.277569,shannon
S5,0.682618,shannon
S6,2.968284,shannon
S7,1.553613,shannon
S8,2.311063,shannon
S9,2.687512,shannon
S1,2.336382,shannon
F,2.380816,shannon
S2,3.133938,shannon
S3,1.091346,shannon
S4,0.862028,shannon
S5,1.03438,shannon
S6,2.393602,shannon
S7,1.852808,shannon
S8,0.877448,shannon
S9,1.411529,shannon
S1,1.982565,shannon
F,2.975251,shannon
S2,1.184895,shannon
S3,1.015807,shannon
S4,0.086899,shannon
S5,0.868035,shannon
S8,2.131849,shannon
S9,1.907559,shannon
