group,OTUnum,shannon,chao
1,89,2.303136,136.25
1,43,0.741795,84.25
1,37,0.363161,42.909091
1,51,0.360789,72.428571
1,110,1.972689,133.3
1,211,3.269855,260.681818
1,102,1.757945,140.4
1,122,2.336382,176.833333
1,75,1.982565,104.5
2,32,0.841824,38
2,36,0.888453,72.6
2,31,1.201143,98.75
2,69,1.85762,92.6
2,125,2.355151,160.111111
2,71,1.282175,114.25
2,111,2.186066,133.5
2,114,3.133938,153
2,51,1.184895,62.666667
3,22,0.614915,38.75
3,57,1.368003,98.25
3,39,0.622575,56.142857
3,82,1.573552,115.272727
3,98,1.829937,107.75
3,105,1.415445,176.230769
3,77,0.567214,142.111111
3,93,1.091346,159
3,37,1.015807,66
4,41,0.911622,84.25
4,152,1.640866,184.763158
4,45,0.47434,94.333333
4,56,1.277569,80.363636
4,163,0.862028,211.622222
4,30,0.086899,69.142857
5,30,1.017773,34.428571
5,26,0.476564,61.333333
5,35,0.808824,42.428571
5,50,1.392396,184
5,47,0.372229,98.5
5,41,0.682618,100.5
5,48,1.03438,79.5
5,30,0.868035,103
