".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"dis","F","S1",0.0620675672421207,1,"0.0621","ns","Wilcoxon"
"dis","F","S2",0.741232281214897,1,"0.7412","ns","Wilcoxon"
"dis","F","S3",0.792522645864482,1,"0.7925","ns","Wilcoxon"
"dis","F","S4",0.467226208456023,1,"0.4672","ns","Wilcoxon"
"dis","F","S5",0.243625503114565,1,"0.2436","ns","Wilcoxon"
"dis","F","S6",0.00837290008673988,0.38,"0.0084","**","Wilcoxon"
"dis","F","S7",0.711684756709941,1,"0.7117","ns","Wilcoxon"
"dis","F","S8",0.0314671542707357,1,"0.0315","*","Wilcoxon"
"dis","F","S9",0.385008497472917,1,"0.3850","ns","Wilcoxon"
"dis","S1","S2",0.155103871183471,1,"0.1551","ns","Wilcoxon"
"dis","S1","S3",0.186900464044604,1,"0.1869","ns","Wilcoxon"
"dis","S1","S4",0.10973414197851,1,"0.1097","ns","Wilcoxon"
"dis","S1","S5",0.0113534474591681,0.5,"0.0114","*","Wilcoxon"
"dis","S1","S6",0.712047522677018,1,"0.7120","ns","Wilcoxon"
"dis","S1","S7",0.0243749528431275,0.95,"0.0244","*","Wilcoxon"
"dis","S1","S8",0.783905785703094,1,"0.7839","ns","Wilcoxon"
"dis","S1","S9",0.179453635755513,1,"0.1795","ns","Wilcoxon"
"dis","S2","S3",0.959834211465561,1,"0.9598","ns","Wilcoxon"
"dis","S2","S4",0.383695962328265,1,"0.3837","ns","Wilcoxon"
"dis","S2","S5",0.217256533330464,1,"0.2173","ns","Wilcoxon"
"dis","S2","S6",0.0455701554007667,1,"0.0456","*","Wilcoxon"
"dis","S2","S7",0.455266606198922,1,"0.4553","ns","Wilcoxon"
"dis","S2","S8",0.0923528887772228,1,"0.0924","ns","Wilcoxon"
"dis","S2","S9",0.519533584680963,1,"0.5195","ns","Wilcoxon"
"dis","S3","S4",0.479913032681765,1,"0.4799","ns","Wilcoxon"
"dis","S3","S5",0.212235236090172,1,"0.2122","ns","Wilcoxon"
"dis","S3","S6",0.232547496006598,1,"0.2325","ns","Wilcoxon"
"dis","S3","S7",0.505564379021668,1,"0.5056","ns","Wilcoxon"
"dis","S3","S8",0.23190711699935,1,"0.2319","ns","Wilcoxon"
"dis","S3","S9",0.942009041023767,1,"0.9420","ns","Wilcoxon"
"dis","S4","S5",0.714919973015029,1,"0.7149","ns","Wilcoxon"
"dis","S4","S6",0.124586044479916,1,"0.1246","ns","Wilcoxon"
"dis","S4","S7",0.536729405207788,1,"0.5367","ns","Wilcoxon"
"dis","S4","S8",0.100688801410177,1,"0.1007","ns","Wilcoxon"
"dis","S4","S9",0.350825571521697,1,"0.3508","ns","Wilcoxon"
"dis","S5","S6",0.0208548235720009,0.83,"0.0209","*","Wilcoxon"
"dis","S5","S7",0.489134496939558,1,"0.4891","ns","Wilcoxon"
"dis","S5","S8",0.018823988431213,0.8,"0.0188","*","Wilcoxon"
"dis","S5","S9",0.146593472868821,1,"0.1466","ns","Wilcoxon"
"dis","S6","S7",0.0186304400179459,0.8,"0.0186","*","Wilcoxon"
"dis","S6","S8",0.582439308974998,1,"0.5824","ns","Wilcoxon"
"dis","S6","S9",0.122597879684277,1,"0.1226","ns","Wilcoxon"
"dis","S7","S8",0.018823988431213,0.8,"0.0188","*","Wilcoxon"
"dis","S7","S9",0.19297685945843,1,"0.1930","ns","Wilcoxon"
"dis","S8","S9",0.264860861704921,1,"0.2649","ns","Wilcoxon"
