Taxon	F	S1	S2	S3	S4	S5	S6	S7	S8	S9
p__Acidobacteria	0	0	7.08E-06	0	7.54301E-06	0	0	0	0	2.16612E-06
p__Actinobacteria	0.131673124	0.074630281	1.15E-01	0.1536878	0.011430839	0.021236048	0.088033609	0.046730047	0.106832914	0.093094252
p__Bacteroidetes	0.048292754	0.029714077	1.08E-01	0.002133374	0.002052079	0.000636915	0.010138109	0.021655832	0.005200145	0.056067461
p__Chloroflexi	0	0	0.00E+00	0	2.43434E-05	0	0	2.86054E-06	0	0
p__Cloacimonetes	0	0	0.00E+00	0	2.05719E-05	0	0	0	0	0
p__Cyanobacteria	0.00909878	0.000313945	2.20E-05	0.000164986	0.000402457	9.22916E-05	0.000169858	0.000352589	0.001253045	0.000552899
p__Deinococcus-Thermus	0	0	0.00E+00	0	1.71432E-05	0	0	0	0	0
p__Epsilonbacteraeota	9.66426E-06	8.62628E-06	5.49E-05	2.04118E-05	0.000639496	2.90574E-05	6.70109E-06	2.10021E-05	2.67826E-05	3.28469E-05
p__Firmicutes	0.708397124	0.683851368	4.96E-01	0.572877225	0.888215741	0.784412802	0.690632562	0.57638072	0.688983037	0.583392994
p__Fusobacteria	2.39976E-05	6.98339E-05	3.19E-03	0.004185323	0.000832369	3.22315E-05	0.000280911	1.05757E-05	0.001701208	0.014572694
p__GAL15	0	0	0.00E+00	0	7.54301E-06	0	0	0	0	0
p__Kiritimatiellaeota	0	0	0.00E+00	0	7.20016E-06	2.12466E-06	0	0	0	0
p__Lentisphaerae	0	0	0.00E+00	1.56883E-06	1.40575E-05	0	0	0	0	0
p__Patescibacteria	0.000656899	0.000960059	1.42E-04	0.000227585	7.34086E-05	4.86865E-06	0	0.000107941	0.000939732	0.000692744
p__Proteobacteria	0.091872605	0.210378725	2.31E-01	0.231245991	0.095965082	0.19348312	0.124892167	0.353725148	0.188345868	0.251548066
p__Spirochaetes	0	0	0.00E+00	1.96147E-06	8.84054E-05	2.12466E-06	0	1.16345E-05	5.32843E-06	2.12975E-05
p__Synergistetes	2.51292E-06	1.1775E-06	0.00E+00	3.92293E-06	8.71363E-05	0	6.44712E-06	4.84308E-06	0	2.33187E-06
p__Tenericutes	0.009191972	0	0.00E+00	0	2.09148E-05	0	3.09335E-06	0	2.66422E-06	2.49346E-06
p__Thermotogae	2.379E-06	0	0.00E+00	0	4.93725E-05	0	0	0	0	4.66373E-06
p__Verrucomicrobia	0.000725169	1.1108E-05	4.65E-02	0.035365445	2.4866E-05	3.90902E-06	0.085704093	0.000677621	0.00667823	1.11872E-05
p__unclassified_k__norank_d__Bacteria	5.30188E-05	6.07995E-05	3.78E-04	8.4405E-05	1.94319E-05	6.45079E-05	0.000132449	0.000319187	3.10466E-05	1.90392E-06
