ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU769,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__unclassified_o__Lactobacillales,g__unclassified_o__Lactobacillales,s__unclassified_o__Lactobacillales
OTU147,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__norank_f__Rikenellaceae,s__uncultured_prokaryote_g__norank_f__Rikenellaceae
OTU524,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia,s__uncultured_bacterium_g__Slackia
OTU178,k__norank_d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Sphaerochaeta,s__uncultured_prokaryote_g__Sphaerochaeta
OTU476,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto_13,s__unclassified_g__Clostridium_sensu_stricto_13
OTU544,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Fournierella,s__uncultured_organism_g__Fournierella
OTU82,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__[Eubacterium]_coprostanoligenes_group,s__unclassified_g__[Eubacterium]_coprostanoligenes_group
OTU388,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family_XIII,g__Mogibacterium,s__unclassified_g__Mogibacterium
OTU240,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_UCG-005,s__uncultured_prokaryote_g__Ruminococcaceae_UCG-005
OTU689,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_influenzae
OTU574,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__unclassified_g__Rothia
OTU1,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Butyricimonas,s__uncultured_bacterium_g__Butyricimonas
OTU164,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_farciminis
OTU413,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__unclassified_g__Bifidobacterium
OTU561,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae
OTU540,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__uncultured_bacterium_g__Blautia
OTU11,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella_aerofaciens
OTU484,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella_9,s__unclassified_g__Prevotella_9
OTU12,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__unclassified_g__Actinomyces
OTU3,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Tyzzerella_3,s__unclassified_g__Tyzzerella_3
