No,ID,No. module,Zi,Pi,Network roles,type
1,OTU1,3,0.252766426,0.374131944,Peripheral species,F
2,OTU11,3,0.774347941,0.044421488,Peripheral species,F
3,OTU15,2,1.177977804,0.309917355,Peripheral species,F
4,OTU16,2,-0.548568095,0.397502601,Peripheral species,F
5,OTU17,3,0.252766426,0.570276807,Peripheral species,F
6,OTU2,2,-0.681379318,0.391111111,Peripheral species,F
7,OTU201,4,0.592537752,0,Peripheral species,F
8,OTU203,1,0,0,Peripheral species,F
9,OTU206,3,0.165836174,0.392361111,Peripheral species,F
10,OTU209,4,0.043568952,0.359396433,Peripheral species,F
11,OTU22,2,-0.548568095,0.464646465,Peripheral species,F
12,OTU220,2,1.177977804,0.309917355,Peripheral species,F
13,OTU222,2,0.11548802,0.416897507,Peripheral species,F
14,OTU227,2,0.646732912,0.366448543,Peripheral species,F
15,OTU228,2,1.177977804,0.355387524,Peripheral species,F
16,OTU23,2,-0.150134426,0.345270891,Peripheral species,F
17,OTU236,2,0.11548802,0.428665352,Peripheral species,F
18,OTU238,2,0.248299243,0.380886427,Peripheral species,F
19,OTU240,2,-0.947001764,0.165289256,Peripheral species,F
20,OTU242,2,-0.017323203,0.425127831,Peripheral species,F
21,OTU248,3,-0.094954583,0.523317907,Peripheral species,F
22,OTU254,2,1.84203392,0.129132231,Peripheral species,F
23,OTU26,3,0.426626931,0.397189349,Peripheral species,F
24,OTU263,2,-0.947001764,0.612754767,Peripheral species,F
25,OTU27,3,0.948208446,0.1171875,Peripheral species,F
26,OTU274,4,0.043568952,0,Peripheral species,F
27,OTU278,4,-0.688389447,0.641344047,Connector hubs,F
28,OTU28,2,-2.009491549,0.681359045,Connector hubs,F
29,OTU281,3,-1.311978118,0.095,Peripheral species,F
30,OTU290,4,0.592537752,0.0768,Peripheral species,F
31,OTU291,4,0.409548152,0.55375,Peripheral species,F
32,OTU293,3,0.078905921,0.325413223,Peripheral species,F
33,OTU294,4,0.592537752,0,Peripheral species,F
34,OTU296,3,-0.355745341,0.555357779,Peripheral species,F
35,OTU299,3,0.948208446,0.18,Peripheral species,F
36,OTU3,2,1.709222697,0.169421488,Peripheral species,F
37,OTU300,4,0.958516951,0.570888469,Peripheral species,F
38,OTU301,4,0.592537752,0,Peripheral species,F
39,OTU303,4,-1.786327045,0.729916898,Connector hubs,F
40,OTU304,4,2.239444149,0.19284149,Peripheral species,F
41,OTU305,2,-0.681379318,0.2176,Peripheral species,F
42,OTU306,4,0.592537752,0,Peripheral species,F
43,OTU307,4,0.775527351,0.353515625,Peripheral species,F
44,OTU308,2,-0.150134426,0.480609418,Peripheral species,F
45,OTU313,3,-1.833559632,0.425925926,Peripheral species,F
46,OTU314,2,1.045166581,0.260559191,Peripheral species,F
47,OTU317,4,0.775527351,0.073964497,Peripheral species,F
48,OTU320,4,-0.871379046,0.556811422,Peripheral species,F
49,OTU321,2,-1.61105788,0.692901235,Connector hubs,F
50,OTU324,4,1.141506551,0.18,Peripheral species,F
51,OTU336,4,0.226558552,0,Peripheral species,F
52,OTU342,3,-0.790396603,0.470679012,Peripheral species,F
53,OTU359,4,0.592537752,0.257653061,Peripheral species,F
54,OTU360,2,-1.079812987,0,Peripheral species,F
55,OTU365,3,0.339696679,0.411242604,Peripheral species,F
56,OTU371,2,-1.079812987,0,Peripheral species,F
57,OTU377,2,-1.079812987,0.095,Peripheral species,F
58,OTU380,2,-0.947001764,0,Peripheral species,F
59,OTU382,3,1.035138698,0.114952103,Peripheral species,F
60,OTU383,4,1.324496151,0.533057851,Peripheral species,F
61,OTU385,4,0.592537752,0.142011834,Peripheral species,F
62,OTU387,3,1.035138698,0.079861111,Peripheral species,F
63,OTU388,3,0.165836174,0.380262562,Peripheral species,F
64,OTU394,4,-1.420347846,0.3203125,Peripheral species,F
65,OTU396,3,0.861278194,0.152777778,Peripheral species,F
66,OTU398,2,-0.548568095,0.509387755,Peripheral species,F
67,OTU399,3,-1.225047865,0,Peripheral species,F
68,OTU4,2,-0.681379318,0.26035503,Peripheral species,F
69,OTU403,4,0.409548152,0.1472,Peripheral species,F
70,OTU408,2,-1.079812987,0.095,Peripheral species,F
71,OTU409,3,0.861278194,0.4609375,Peripheral species,F
72,OTU412,4,-1.603337446,0.653485952,Connector hubs,F
73,OTU413,4,1.141506551,0.128418549,Peripheral species,F
74,OTU414,4,0.592537752,0.0768,Peripheral species,F
75,OTU416,4,1.141506551,0.5144,Peripheral species,F
76,OTU417,3,1.035138698,0.114952103,Peripheral species,F
77,OTU418,2,-0.947001764,0.53125,Peripheral species,F
78,OTU419,2,-0.150134426,0.387543253,Peripheral species,F
79,OTU420,2,-0.814190541,0.439952438,Peripheral species,F
80,OTU422,3,0.861278194,0.188254894,Peripheral species,F
81,OTU428,2,0.11548802,0.26446281,Peripheral species,F
82,OTU429,4,-0.139420647,0,Peripheral species,F
83,OTU431,4,0.043568952,0,Peripheral species,F
84,OTU433,4,0.043568952,0,Peripheral species,F
85,OTU437,2,-0.681379318,0.31824417,Peripheral species,F
86,OTU438,1,0,0,Peripheral species,F
87,OTU443,3,0.339696679,0.363182007,Peripheral species,F
88,OTU444,3,1.035138698,0.079861111,Peripheral species,F
89,OTU445,4,-1.420347846,0.393004115,Peripheral species,F
90,OTU446,2,0.779544135,0.236842105,Peripheral species,F
91,OTU448,4,0.043568952,0.2688,Peripheral species,F
92,OTU45,4,0.409548152,0.639792899,Connector hubs,F
93,OTU450,2,-0.150134426,0.554752066,Peripheral species,F
94,OTU452,1,0,0,Peripheral species,F
95,OTU455,2,-0.681379318,0.615646259,Peripheral species,F
96,OTU456,3,0.774347941,0.191840278,Peripheral species,F
97,OTU459,2,2.107656366,0.22240733,Peripheral species,F
98,OTU464,4,-1.237358246,0.124444444,Peripheral species,F
99,OTU474,4,0.043568952,0,Peripheral species,F
100,OTU475,3,-1.225047865,0.090702948,Peripheral species,F
101,OTU480,2,0.381110466,0.214532872,Peripheral species,F
102,OTU485,2,1.84203392,0.370950516,Peripheral species,F
