sample,C_pos,Group,dose
S1_10,20.63663207,F,0
S2_10,13.88398254,F,0
S3_10,22.79617252,F,0
S4_10,16.78047501,F,0
S5_10,14.54170202,F,0
S6_10,13.22198819,F,0
S7_10,27.55586448,F,0
S8_10,10.22082013,F,0
S9_10,14.19091638,F,0
S1_1,9.022379958,S1,1
S2_1,5.479565837,S1,1
S3_1,2.822414727,S1,1
S4_1,1.424545433,S1,1
S5_1,14.58969641,S1,1
S6_1,12.51994072,S1,1
S7_1,9.814595959,S1,1
S8_1,10.90702482,S1,1
S9_1,5.915438129,S1,1
S1_2,2.608106785,S2,2
S2_2,1.019367369,S2,2
S3_2,3.664216878,S2,2
S4_2,7.6741592,S2,2
S5_2,17.90651146,S2,2
S6_2,3.891862249,S2,2
S7_2,9.311369519,S2,2
S8_2,15.13405932,S2,2
S9_2,3.166772658,S2,2
S1_3,0.428897291,S3,3
S2_3,8.789327473,S3,3
S3_3,2.397562331,S3,3
S4_3,10.56481639,S3,3
S5_3,13.72275501,S3,3
S6_3,11.37386653,S3,3
S7_3,5.810759939,S3,3
S8_3,8.836298216,S3,3
S9_3,2.772026222,S3,3
S1_5,6.642171586,S5,5
S2_5,5.139316667,S5,5
S3_5,5.295165507,S5,5
S4_5,7.837082428,S5,5
S6_5,5.000107698,S5,5
S7_5,4.905420963,S5,5
S8_5,7.162661591,S5,5
S9_5,2.473755998,S5,5
S1_7,9.938662231,S7,7
S2_7,5.284723221,S7,7
S3_7,10.94830182,S7,7
S4_7,3.023515368,S7,7
S5_7,9.309323676,S7,7
S6_7,5.297320274,S7,7
S7_7,4.928663798,S7,7
S8_7,9.355624867,S7,7
S1_8,8.40791102,S8,8
S2_8,7.208120388,S8,8
S3_8,8.852179009,S8,8
S4_8,8.965493192,S8,8
S5_8,8.385141228,S8,8
S6_8,7.7661577,S8,8
S7_8,12.37178899,S8,8
S8_8,5.336754302,S8,8
S9_8,7.028407311,S8,8
S1_9,4.614065974,S9,9
S2_9,9.617919547,S9,9
S3_9,9.656382282,S9,9
S4_9,8.840856361,S9,9
S5_9,9.331559349,S9,9
S6_9,5.284737275,S9,9
S7_9,10.85344245,S9,9
S8_9,4.267199852,S9,9
S9_9,10.87813939,S9,9
