sample,C_pos,C_neg,shannon,ace
S1_1,9.022379958,-4.193423927,2.303136,165.041507
S1_10,20.63663207,-10.71433615,3.602682,250.414375
S1_2,2.608106785,-0.972301069,0.841824,37.703747
S1_3,0.428897291,-0.284721226,0.614915,55.597627
S1_5,6.642171586,-2.640410032,1.017773,37.448879
S1_7,9.938662231,-0.198215232,2.405021,144.314823
S1_8,8.40791102,-4.600042946,2.310493,114.551348
S1_9,4.614065974,-2.679778528,1.341165,69.790166
S2_1,5.479565837,-2.663849887,0.741795,138.872277
S2_10,13.88398254,-7.274516288,2.374612,192.696181
S2_2,1.019367369,-0.552770743,0.888453,94.643165
S2_3,8.789327473,-0.379628301,1.368003,157.404158
S2_5,5.139316667,-1.132393676,0.476564,69.818182
S2_7,5.284723221,-0.201331447,1.465019,114.10483
S2_8,7.208120388,-3.207623808,2.008427,142.239834
S2_9,9.617919547,-4.796963949,2.270074,146.20206
S3_1,2.822414727,-1.38865683,0.363161,52.625123
S3_10,22.79617252,-12.24993952,3.727326,257.983741
S3_2,3.664216878,-2.249857687,1.201143,171.941784
S3_3,2.397562331,-0.094907075,0.622575,96.503074
S3_5,5.295165507,-2.14688152,0.808824,48.478012
S3_7,10.94830182,-0.304214477,2.186585,86.167751
S3_8,8.852179009,-4.327620279,2.354271,92.739922
S3_9,9.656382282,-3.976317785,2.477368,138.279757
S4_1,1.424545433,-0.819951868,0.360789,66.177755
S4_10,16.78047501,-5.243751973,2.944698,206.153049
S4_2,7.6741592,-2.744431094,1.85762,87.168651
S4_3,10.56481639,-0.108465229,1.573552,132.609019
S4_5,7.837082428,-2.988908923,1.392396,428.071972
S4_7,3.023515368,-0.173932728,0.51603,78.859172
S4_8,8.965493192,-4.822245607,1.165388,84.43175
S4_9,8.840856361,-3.290225254,2.388583,119.056681
S5_1,14.58969641,-6.582402563,1.972689,130.803134
S5_10,14.54170202,-6.606768603,2.727852,206.585025
S5_2,17.90651146,-6.014227182,2.355151,155.630544
S5_3,13.72275501,-0.108465229,1.829937,109.05484
S5_7,9.309323676,-0.230312245,2.352406,126.016292
S5_8,8.385141228,-4.711992753,2.530409,153.387805
S5_9,9.331559349,-5.205606744,2.493613,159.023341
S6_1,12.51994072,-5.927453921,3.269855,255.337343
S6_10,13.22198819,-5.482982113,2.133045,167.461449
S6_2,3.891862249,-1.516804073,1.282175,138.847417
S6_3,11.37386653,-0.108465229,1.415445,168.690702
S6_5,5.000107698,-2.166458151,0.372229,90.947151
S6_7,5.297320274,-0.01737889,1.653149,65.799086
S6_8,7.7661577,-4.364173925,1.827297,106.830646
S6_9,5.284737275,-2.988083806,2.222921,88.885847
S7_1,9.814595959,-4.406595952,1.757945,154.62306
S7_10,27.55586448,-9.275865957,3.610107,243.928338
S7_2,9.311369519,-5.017245629,2.186066,132.850973
S7_3,5.810759939,-0.108465229,0.567214,162.943933
S7_5,4.905420963,-1.814962904,0.682618,99.056865
S7_7,4.928663798,-0.13924686,1.553613,96.948881
S7_8,12.37178899,-5.539254814,2.311063,180.684841
S7_9,10.85344245,-4.580460977,2.687512,202.066841
S8_1,10.90702482,-4.66316473,2.336382,179.038411
S8_10,10.22082013,-5.751998918,2.380816,135.682612
S8_2,15.13405932,-8.306771063,3.133938,177.900248
S8_3,8.836298216,-0.108465229,1.091346,152.483887
S8_5,7.162661591,-2.514209867,1.03438,70.151268
S8_7,9.355624867,-0.126062874,1.852808,142.463063
S8_8,5.336754302,-3.134489391,0.877448,170.239267
S8_9,4.267199852,-2.560014808,1.411529,200.317946
S9_1,5.915438129,-2.877658812,1.982565,99.118687
S9_10,14.19091638,-5.429098581,2.975251,186.991619
S9_2,3.166772658,-1.403895474,1.184895,67.188026
S9_3,2.772026222,-0.216930458,1.015807,75.346489
S9_5,2.473755998,-1.306747364,0.868035,103.828309
S9_8,7.028407311,-3.480619389,2.131849,70.622386
S9_9,10.87813939,-5.105571543,1.907559,94.986668
